user_id,account_id,role,created_at,last_login_at,is_active
b93bf41c-228c-4d04-a316-6f63e4924493,be422afb-18eb-49b7-9d3c-55458eac551b,viewer,2026-04-18,2026-06-07,1
a5c10a19-545b-458c-916b-f7f9eac87de7,be422afb-18eb-49b7-9d3c-55458eac551b,admin,2026-04-18,2026-05-23,1
49b5d9b3-4adb-4b6d-a12e-1a7b3a145b25,be422afb-18eb-49b7-9d3c-55458eac551b,admin,2026-02-23,2026-06-06,1
784cfc8c-2d25-4f9f-a184-a83139ad4e27,be422afb-18eb-49b7-9d3c-55458eac551b,viewer,2025-11-08,2026-01-23,0
8082b223-8ca3-4810-b87e-cd8117f61215,be422afb-18eb-49b7-9d3c-55458eac551b,admin,2026-02-03,2026-02-15,0
0c9a6ad7-b819-46b4-a134-3fb8dbd6ced5,999abe3a-d9ce-4a26-bd65-c3c6659e3864,analyst,2026-04-07,,0
72027d19-2647-4c5c-8062-fa879563de0b,999abe3a-d9ce-4a26-bd65-c3c6659e3864,viewer,2026-03-11,2026-04-07,1
aaed0c24-a0d3-4669-8e00-4dab33325da6,999abe3a-d9ce-4a26-bd65-c3c6659e3864,viewer,2026-03-15,2026-05-22,1
25426d11-b018-47bb-b099-635872f6ebd4,999abe3a-d9ce-4a26-bd65-c3c6659e3864,viewer,2026-06-07,2026-06-09,1
fe306da9-b159-45d3-a981-925fb6e6bc56,999abe3a-d9ce-4a26-bd65-c3c6659e3864,analyst,2025-12-13,2026-02-18,0
235d70ab-d836-425c-8055-9d11c00b65c8,999abe3a-d9ce-4a26-bd65-c3c6659e3864,analyst,2025-11-08,2026-05-14,1
b57c8545-2b1b-4aae-98e5-7d451b24bbae,999abe3a-d9ce-4a26-bd65-c3c6659e3864,admin,2025-11-26,2025-12-17,0
bb00204c-ed9d-4b7b-b5ea-d1d1823d9026,999abe3a-d9ce-4a26-bd65-c3c6659e3864,admin,2026-05-16,2026-05-25,1
e83e715b-25de-4e8a-9fc9-acb082cac9c1,4c8a90bd-36e2-47d9-9140-e5b282317c67,viewer,2025-09-21,2026-03-07,0
218cb3a3-969e-4597-be94-26ddaee4eb00,4c8a90bd-36e2-47d9-9140-e5b282317c67,analyst,2026-03-29,2026-05-29,1
c241f635-18f6-40c4-aeb8-341d0b24b29e,4c8a90bd-36e2-47d9-9140-e5b282317c67,analyst,2026-06-08,2026-06-16,1
7a697834-b5a2-4fdd-b821-7254bcdc7f68,4c8a90bd-36e2-47d9-9140-e5b282317c67,admin,2025-07-02,2026-05-14,1
4801cf4b-5602-4bcb-82c3-a20f316dfefb,4c8a90bd-36e2-47d9-9140-e5b282317c67,analyst,2026-01-14,2026-01-17,0
9bcab54d-b7e6-4b79-8323-ed08b402ee7c,4c8a90bd-36e2-47d9-9140-e5b282317c67,viewer,2026-02-16,,0
